,ARID4B,CEBPZ,CENPK,CHAF1A,CHD7,CHURC1,CITED2,CRABP2,CTNNB1,DDB2,DNAJC2,DNMT1,DNMT3A,EIF5B,ETS2,ETV4,ETV5,FOXH1,FXR1,GTF3A,GTF3C5,HDAC1,HES6,HMGB2,HMGN3,HNRNPR,HTATIP2,ID1,ID3,ILF3,IRX2,JADE1,JARID2,JMJD1C,KAT7,KDM5B,LIN28A,MAF1,MAZ,MCM4,MCM7,MED1,MIS18BP1,MKI67,MPLKIP,MYC,MYCN,NAA15,NANOG,NAP1L4,NIFK,NONO,NR2F6,NR5A2,PAPOLA,PAXBP1,PDLIM1,PHF3,PLK1,PNRC2,POU5F1,PRDM14,PRPF4B,PTTG1,RAD51,RBCK1,RSF1,RUNX1T1,SALL2,SALL4,SKIL,SNW1,SOX15,SOX2,SOX3,TADA3,TARDBP,TCEA1,TCF3,TCF7L1,TGIF1,TOP1,TRIM24,TRIM25,TRIM27,TSC22D1,UBTF,UTF1,VENTX,YTHDC1,ZFP36L1,ZFP36L2,ZIC2,ZIC3,ZNF22,ZNF24,ZNF326,ZNF398,ZNF593,ZNF649,ZNF90,ZNHIT3,ZSCAN10
ARID4B,0.0,0.00027254225974658033,0.0002547300930156357,1.698545241550938e-05,-0.0018240160292182254,-0.00015055102472920964,0.0001729415883892432,0.0007454222108922095,-0.0005058049815881698,0.0006445680339633912,-0.00017081321145212596,0.00032988149713948986,0.00025250024781069564,-1.9752900945937375e-05,0.0013287666396573394,0.006751303822039873,-6.300980456472899e-05,-0.01426629704727449,-1.6772246346784976e-05,-0.00012093225151804274,0.00017389052038351582,0.0001070042921460549,-0.000353779529805921,-0.0011512662167938758,2.709707615145035e-05,-0.0009543663645348236,8.594790372982601e-05,0.002132698350495841,-0.0018940552623133722,-8.713252646412035e-05,0.0005673708668512134,0.0021481169605770834,0.0023852164421256108,2.5992709995276348e-05,0.0005003607458361716,0.0004598582543157003,0.003962779688170279,-0.00025082575758246804,-0.00021940465710209358,-3.190575317598505e-05,-2.5656952015108602e-05,-0.00014402951470362087,-8.319435281518811e-06,6.3594100910533765e-06,-0.00012277571628197082,-0.017892951150174047,-0.009146585705251254,0.00011028303000635191,0.001185081623597779,-0.0005389238609286514,-0.0002193743659067772,-6.555630257929644e-05,-4.667057656275583e-05,0.005496395827066185,-0.00024255847739396125,3.934886034113332e-05,-0.0007008125765358916,3.5167372726426645e-05,0.00017985401723553281,-0.0002304004386340942,0.0008480774354401043,0.016943219053509345,-0.00013868547325919227,5.203772595808057e-05,0.00015653432804994024,-0.0005258054093184259,7.655103477585311e-06,0.008099995020857707,8.902475806648793e-05,0.00038674107497568524,0.0014522569136875413,2.0784507820868076e-05,0.0017164476437524995,-9.881762543643166e-05,-3.016210089250682e-05,-2.2983243994611214e-05,-1.8537942041958684e-05,-9.568391452455923e-05,4.63075851835591e-05,0.00010180320094217773,-0.0006340461001652641,-9.983155349190684e-06,0.02090375835133492,-0.005632528406004237,7.356954895415485e-05,6.628144771904505e-06,1.595607948589712e-05,0.0048498211539770115,0.0029032495411779454,0.0002644369671357112,0.00010063733465182108,0.0006342754677009331,-0.00830803428663759,-0.004470181646163669,-5.104251577338716e-05,1.5161181561418953e-05,-3.858380619035901e-05,-0.0021521759500231948,-2.749267124932485e-05,0.0008768633732492206,0.012721897172203282,6.765746715425876e-05,0.0005700536959168948
CEBPZ,0.00020532560206475657,0.0,-5.939024612779458e-05,0.00011558839765335311,-0.004796247029125286,0.00015794874405202722,-0.005179712407974933,-8.420791377013823e-05,-0.006568453473233553,6.938420954403826e-05,0.003992868533143238,0.00019205627284030373,0.002829801750044018,5.689639701235378e-07,-0.007715907591576556,-0.003367624185286,-0.0012317858600422212,-0.00555784721502727,0.0006361777093806332,0.0016531077128863654,0.0019072169677047555,-0.0006348443348927745,0.00010041298794695137,-0.008080968482219496,-0.00026439400082424496,-0.005581483462589914,8.081920550423617e-05,0.016301766788938268,-0.014667690267391348,-0.0010223916978951161,0.004425624926693084,0.008104886556842522,0.004557775950564162,0.0018188328231201827,0.002667183564459371,-0.0021346921932071964,0.007961593988215701,0.0011357893894943522,0.0033711911956496713,0.003067099665133179,0.0030057114081828234,0.0012115557102745467,0.0011217428730626057,-0.0005327532696673726,-0.000306322921237395,0.03794757742767224,0.012834692402835867,0.0016759370821223395,0.00880384950910721,-0.0008793485294326519,0.0033807874354936174,-0.00195678347474362,0.0025297767340186055,0.006687365727552834,-0.00037492740084037077,0.0008756190617547617,0.015340625282266436,-0.00026992644733899807,0.003505134055993692,-8.927450190166824e-05,0.04816597044298223,0.07153595028702381,-0.0006120150680361747,0.0019371502035507953,0.0017030208855489271,-4.623378284920022e-05,-0.0001409641692788071,0.06754573533434467,0.0002816461254671592,0.0016326762614210755,0.0033006553160464004,4.578994205244088e-06,0.005560768755080327,0.04899424016983397,-0.0034557906427968676,-0.0001709662553381493,0.0008300905006405126,0.0026205904101918613,0.0008154373186559356,-0.0001427524655983478,-0.00688765271487098,-0.0011473759120078464,0.005515125662439285,-0.00510149214822545,0.0028168592474816646,-0.0009919978714082688,0.0009415319527981645,0.023614399613204117,0.002570283411929302,0.0004265628092742298,-0.0033380083437532316,0.004358654426406573,-0.018292302256166383,-0.004259554225765885,-6.395632887601502e-06,-0.0013312002884064199,0.001192474368570666,0.008453000579078246,0.002894589591875768,0.001117303365835469,-0.00045034476061258017,-4.4620986919835565e-05,0.0054724852759834314
CENPK,4.296636175672491e-05,3.466848457572696e-05,0.0,-0.00012821814852712477,1.9731654910688246e-05,5.6894897740743894e-05,-0.002237500656168882,-0.0003664021636391507,-2.2970597176080286e-05,5.6722664563384795e-05,5.761169057945301e-05,-2.8421279262398062e-05,-8.390221778276983e-05,3.1734283553845886e-06,0.003565676921830501,-0.0042043252623145694,0.0001134167632361623,-0.012454925062118904,0.0006024181336914974,-0.00023140492182160068,0.0001662192828388005,0.0008582635275689895,-0.0007331938090128106,0.0007320178063934114,-0.0006556730032410265,0.00019572726357332005,8.236073146983719e-07,0.022615187182816535,-0.007457434779683668,0.00012980778655360264,0.00022678917832511674,0.000188880065530814,-0.010313412716181249,0.00013020788814926366,-7.589316567159141e-05,6.875903993902481e-05,0.00632227909751483,-5.4172765533137345e-05,0.00015555660765590305,0.0005530759247849711,-0.00012844866305185265,-1.4792999923757843e-05,0.0001508836069508884,0.00011741514242295306,0.00023539844106945114,0.004472789045061373,-0.01135937509883393,0.0002147850839654755,0.001043274306563242,0.00018749187988606364,6.767161545959327e-06,0.0002183192956169894,0.00030691190868736026,0.0070640518351418125,-6.941532501657656e-05,1.6733869424325086e-05,-0.0014203695635306329,0.0005867778587678164,8.67761988314749e-05,9.720232589761477e-06,0.013902071933529722,0.00427362053344193,-1.0714894674254264e-05,9.997326244612408e-06,1.1145437857384531e-05,1.4656726598619992e-05,-0.00022377205450830188,-0.00877807204000012,-0.00023771410937059096,0.00011793515151212339,2.1561968315043507e-05,0.00020338302672827981,-0.00012508944234065873,-0.02175064821265519,-0.0028697040331821535,-4.527366124498559e-05,-0.00014795696265650947,-0.0001998130828055107,0.00022570883751211055,0.00014150661859662188,0.0020405833495116964,0.00031083762095720005,0.005116096722561413,-0.0036544171704259846,0.0005668902912115476,0.00024924033542945365,-4.817881459942392e-05,-0.0005418386505367309,-0.004513275409638349,0.00037806782543196534,0.0004598441416918143,0.0001548387207013711,-0.00592586568075363,0.0015593103285345387,-0.00011635647438044412,1.727277198196262e-05,-4.525355366236303e-05,-0.0021165920698856433,-1.786622090922479e-05,-0.000589329380833533,-0.0032241699329762195,4.947731819823761e-05,-4.884603176236514e-05
CHAF1A,0.00012139269586651477,-2.9018165173887384e-05,-9.855629033491842e-06,0.0,0.0004360351561858577,9.025660021961514e-05,-0.00037184437472219384,2.7390034218039115e-05,0.0006729130575325854,-0.0005381215723151785,2.0864846220116548e-05,5.15068023062577e-05,-0.0003773721027223346,-2.6928547206346594e-05,0.018236671108761406,-0.012345826841098414,0.00034225725049031415,0.05140593601707725,0.0009438576374203422,7.838182250116877e-05,-2.565783325625468e-05,-2.4650457693011498e-05,-0.0006367619774166758,0.0011577590464425956,5.9626394214003124e-05,0.00273098813149086,0.0004036215163652392,0.031180020423335994,-0.006459910989922413,0.00019638881913116638,-2.4451815583092405e-05,-0.0015828990923380947,-0.00845922113319423,0.002079770859476815,5.596493417828321e-05,4.605135704613786e-06,0.016371006883551517,6.521555330871984e-06,0.0002997459328150914,0.0008286169069189966,-7.252811006451452e-05,0.00029463290696134714,0.00015021082095656267,-8.08570875545878e-06,0.0003817775259362297,-0.013123189064319897,-0.01190037120092091,0.0007779643672717162,0.019189778298824713,0.001205079074275511,0.0002615196686870797,7.484023531330498e-05,0.0008745856863591482,-0.002052014433843853,2.6960281120194847e-05,-7.77781133104829e-05,0.008540237921871589,0.00016687825636983538,-0.0002192839990432701,0.0007473669180937682,0.006384705856635466,0.007048074244910979,0.0007687939156537344,-0.0001280262964832373,-1.7822405259971048e-05,0.00027543107974330335,0.00016477318290645116,0.007994355348684774,4.886830388192387e-05,1.4196272754971637e-05,-0.001504867380080357,-9.304491973806652e-05,5.5224132196244584e-05,0.012510442262051018,-0.00015689821526188496,0.0014070883592350863,0.0005020253919770337,0.0012414784063570921,0.0006362714465758157,0.00014192177630006266,0.0005023224628556838,-0.0006840140745026734,0.002921052550730291,-0.0014105534156418768,0.00016957240639211595,-0.00010551864122661414,0.000354635800068509,-0.00028918499327429246,-0.007497889928702746,-0.00013395495296210152,-7.551026323135284e-05,0.0004395017672501194,-0.0007197656679360487,-0.004766456827983581,0.00015175052628650605,-9.127195788557837e-06,0.000520621415956736,-0.00015708597238676259,0.0006302993870018772,0.004763709066276689,0.01897095716129952,0.00012709900374742905,-3.309316632007358e-06
CHD7,-0.0010731945534238783,-0.00630308962369639,0.00034668633622304183,4.754288765743652e-05,0.0,-0.001040312601775734,-0.005448671074843315,-0.010026417440246205,0.008691331231807802,-0.0031494624330226915,-0.003692661443893525,3.0537521821542197e-05,-0.0049894501685674,7.098257693861359e-05,0.004433268044685195,0.013007350720039524,-0.0014293256706976426,-0.005418914498896441,0.002904290213104419,-0.001409906164705006,0.0008212216034129524,-0.0020262692547275397,0.0018666922413427677,0.01380245261033981,-0.00015016002869827145,0.010042745334820009,-0.002667547391480324,0.013441274544141731,0.013423233754718001,0.0033481563454995284,-0.005231984525031787,-0.0053167244966807,-0.02991759391195206,-0.0007109482112301124,0.0001883065857182177,0.0003587172192880316,0.010023054942978685,0.0022662295773834356,-0.002097461173518786,-6.971234981328412e-05,-0.00027608589800190685,-0.0009677299911370181,0.001633447117763753,0.005247269152620011,-0.0009080084666123861,-0.0027004273868005786,0.024857338898734642,-0.0022251854398443608,-0.03157569462401133,0.003557235586882446,-0.0009263593207718122,0.002447209107962286,0.001505020055109632,0.006614257112757278,0.0011483596547942623,-0.001983776886213214,0.018508586094239735,0.0007389368087306338,0.0008256023449906435,0.0032243753360656617,-0.016269257087770397,-0.08134392542794432,7.565441076770872e-05,0.005545016291083132,-0.0010075997018506328,0.0026396878747808297,0.0022747694997536433,-0.10941372065025516,0.0022423347935872553,-0.0028153825730660538,-0.005758370680575067,0.00045873880293845274,-0.011661991043850623,0.025250858219205644,-0.0021875245873359548,0.001495556651596587,0.0002472223630759023,0.0004513579528054986,-0.001860223166559485,0.0034197174327788783,0.013209730266753306,0.007464613999225913,0.006627004353454061,-5.727456978241745e-05,-0.0030323607774930448,-8.450761306356368e-06,0.002048968573032686,-0.03081803479256712,-0.00010353094468660298,-0.0006409811114152225,0.008548191943678361,-0.012867751025706791,0.017497608207573814,0.01257767635476174,0.001397745122807401,0.00188502449811019,-0.0003866097950511704,-0.004186900481959943,-0.0041312064119616914,0.005465529116569489,-0.0005014059571852145,0.002032059790672315,-0.004473157894492323
CHURC1,1.173146812940989e-05,-3.831444893126279e-05,6.371107695658634e-05,-0.00011943253739587254,-0.0007826152039594975,0.0,0.0014244844323104899,0.0009599912483873066,-0.00041687823590586963,-1.1860567131008083e-05,0.00015527571761182567,-0.00018314766230694435,-0.00011827692788570666,0.00013489464319411083,0.007446861405072098,-0.02348757675701783,9.239053186033361e-05,-0.00714147963230818,0.0001380143644455024,0.0003133360309170207,-1.0259372423352599e-05,0.00010189709200227997,0.00021911881418364344,-0.0002404813096160795,9.116793195318546e-05,-0.001534792961269782,0.0005158494901423065,0.012185825891828787,-0.0023039668820655033,-0.0005964544230278807,-8.205057069328304e-05,-0.00015336317626118905,0.018107884215257324,-0.0002239377075487153,7.4696233992353925e-06,-0.00013537769662295062,-0.006490653735945022,3.4112337200834036e-05,0.0003824871072299831,0.00016069123613324297,6.845864927990942e-05,0.00027580385097212765,-0.00010417590171459855,-3.2972523874946104e-05,0.00013659015874515742,0.028255779727488283,-0.0034469096028406573,0.00012465224571978374,0.02115872362819541,0.00010094605505408502,5.615477827548726e-05,-2.575828508175671e-05,-2.8677454392772165e-05,-0.003852660325601786,2.0990781503517625e-05,0.00016138532763666132,-0.0069396658517808536,2.50617516333223e-05,0.00010767069453090884,0.00027450406428999706,-0.008877039399044695,0.011993796943739131,0.00032699428498857066,-0.0002376346600682725,0.00013413055426495578,0.00013257760665019965,-0.0005341504967046928,0.0005789032814441709,-0.0006325021211444025,-2.484008210390138e-05,4.48184953387049e-05,4.560289839920799e-05,4.681470770245724e-05,-0.0023153287081768537,-4.765922079818363e-05,2.099278820646434e-05,-0.0004816036532687657,0.00010402362505019357,-0.0001819075580955336,-0.0002855416318630857,-0.0011773881337024373,-4.162741341498429e-05,0.010004613232796063,-0.003956170622664155,0.0010786821057176944,0.00013562689185261516,-8.850625300812089e-05,0.0001975713209010834,-0.005983204017250675,-6.979051730632151e-05,-0.0004765153393140865,0.0014027795643738758,0.008086327903101247,0.007230467116885874,-4.830598572262114e-05,0.00012677757872391808,0.00018772311300845225,-5.515952455746603e-05,0.0002644173416704325,-0.004001908135543873,0.002822299955773043,-6.193167503832905e-05,-9.631476942377164e-05
CITED2,0.00018554210726765512,-0.00660962323509584,-0.0007461204391628834,-0.0008140178024453965,-0.00436211424543427,0.0009882895677562993,0.0,0.04901758613071266,0.0107134473574175,-0.0007487644492869303,-0.003385098997958035,-0.00011244704994526766,-0.000163637268659048,-0.004484703350011727,0.004352253449743357,-0.021479564869729482,0.0023542928206121637,0.0006411585960237191,0.00023994566293953504,-0.001896541435586888,-0.001880244202288999,0.002966259516978432,-0.0014390148005758426,2.604537878514577e-05,0.007419482585894943,-0.0034144391381484606,0.0009333641986471656,0.0029712306016500627,0.0432886887786262,-0.003128756080711351,-7.878092129891427e-06,-0.015777298726784465,-0.0018173637626847138,-0.008749290234956653,-0.009559550807921428,0.0011673070693317305,0.029910794686613045,-0.001320236481579079,-0.0015593899176352725,-0.004311583838049855,-0.0016517840859484336,-0.00020081043346459175,-0.0024298191434742535,0.0005699084308758848,8.474729374945936e-05,-0.012250163898254032,0.007718519454269924,-0.000940998476560224,-0.08151791261121624,-0.0042088355696673204,-0.009150376138278796,8.267256863669348e-06,-0.017250823886925122,-0.013990080957541746,0.004759283380800341,-3.348213559583681e-05,0.0236508507743887,-0.00421211045654021,-0.006521767024366649,4.129453060752653e-06,-0.2443736876486364,0.027172269105822894,-0.002522738134855173,-0.002427418097553971,-1.2643229148804218e-05,-0.002604690693790823,-0.0003381702928875047,0.01527723763427243,-0.0004074070413596835,-8.37204785443086e-05,-0.004239530875407878,-0.00233388339964057,0.01446502060659361,-0.09088338286854135,0.0532067635091256,0.004251826904984652,-0.00011742030745049254,-0.00676407941945157,0.0009499727366283486,-0.010390232446119925,-0.016105064107362142,-0.0017791220689995421,-0.008283845469271287,0.00020713992417666273,-0.0004148585202505747,0.0047171345319573,-0.003628001092991015,-0.010383849137191559,-0.008664665048638921,-0.003970710088169045,-0.002346954272577878,0.008066099859661034,-0.004687975038599681,0.005257340440526894,-0.0007787326857069398,-2.3587518831546183e-05,0.0005361678382970679,0.0062560330117084825,-0.0006049388616746844,0.0029052697046877767,-0.012664617600056258,-0.00219632081648618,-0.008127443186195531
CRABP2,0.0007875281455875334,-3.695675209812141e-05,2.0390535148206583e-06,0.0001429900487543399,-0.00968572190605298,0.00032381894529921274,0.046060553382864904,0.0,0.0014491694138511466,0.000972899908061493,-0.00015635051923470277,1.246609404775389e-06,0.0004573091279419247,-0.003140792701942885,-0.0006222492964558123,-0.021684502394780963,0.00157558027670837,0.013050847951707863,0.0004733407540513488,-0.0011342848780722741,-0.0008836678322805667,0.0027476756757044965,-0.003960409142730613,-0.005726620521728741,0.005136640454376782,-0.008475361609196732,0.0025688746195458878,0.04687530506106756,0.010998367611176686,-0.004682756532537011,0.0033242492712970174,-0.004573253410714494,-0.02442315347042569,-0.005584940615586676,-0.006408091782871302,-5.722566566764978e-05,-0.0022714404422101223,9.294020250692187e-06,-0.0005229586318015968,-0.0010879561116080127,-0.00037197687753602094,-0.00024897088889097764,-0.001038960806846445,-0.001801530322658707,-3.0422529843515207e-07,-0.01308265275061528,-0.02073731285644008,-2.7536985210330024e-05,-0.075004175322408,-0.00606851784013654,-0.006733488735901166,-0.0026166379688933794,-0.01098032581775595,-0.03394632503639602,0.0003770621655982767,-1.6843337601352118e-05,-0.001385110551599007,-0.006062403460039549,-0.006868736280067882,-0.0010698371345103678,-0.16062704959640633,0.07964020811346834,-0.0027647275834540605,-0.004656415826419618,0.00065139540794632,-0.0021486849092355828,-0.0012736625655656922,0.05697282205865069,-0.0012595291797372122,0.000795561073264035,-0.00032998430890217756,-0.0022884424547984484,0.01679526384184194,-0.058815908788291266,0.03971330171183262,0.0013767227948210952,0.0003175647013579027,-0.004561412809903518,0.001423934928826125,-0.010692542803333335,-0.01707771281555153,-0.006130639447574162,-0.015340837601884297,0.007163566129235488,0.00011828446106971494,0.003575560441078475,-0.0043273681050594445,0.007467096776523146,0.0029186591139920524,-0.00340673851612652,-0.0032617855698092086,0.014582814587588845,-0.0006722737573040084,0.0031239832999035294,-0.0021042914640642067,-0.0031658130102228403,-0.00020689166819186797,-0.0031410696872790794,7.598366885121459e-05,-0.008543387242811463,-0.012387784158171567,-0.001675468980503148,-0.0015788990948599542
CTNNB1,-0.0001366987881581047,-0.007601401171340121,7.597214235755167e-05,-8.185726991698446e-05,0.008569707676215644,-0.0009461093784584704,0.00876364668070745,0.0007389201812801383,0.0,-0.0014265831227299657,-0.003769752208194525,-0.00010410872463591802,-0.004142635052465764,-0.0005257261288012397,0.01227350763926387,0.006319232770262857,0.0003751527522620612,0.007525640761916953,0.0007139398654136888,-0.002169529223974671,-8.681912293194686e-05,0.0008202170824155501,4.703268219265207e-05,0.010507465023429101,0.0006082917418278708,0.00812744280769947,-0.0007346234770197511,-0.0018395788186775406,0.01950615718551452,0.00202753344395796,-0.003861237366804496,-0.009221616549341198,-0.01163715878999311,-0.0014161744316559146,-0.0028672778919613924,0.0008119522077538086,0.010164358701120533,-0.00022404190846973777,-0.0023360688549902454,-0.001843767600888727,-0.002295479490184282,-0.001018067992036142,-8.782595010879603e-05,0.003310887619679922,0.0002280537741597436,-0.018341991668401256,-0.002753110967910086,-0.001732355259916889,-0.03652697863451084,0.0011812990319254699,-0.0028896642755127026,0.002306614920413324,-0.002740287361566281,0.02518993387226458,0.001299996272750678,-0.0008720554031377322,0.0164064463343209,0.00084051459879346,-0.0013753564551720282,0.0013531931853461958,-0.06260730170020071,-0.08210863917592559,-4.179800545404093e-05,2.7380029431794443e-05,-0.0008238088907373442,0.0008318539453369261,0.0007168178381976969,-0.054892150373271255,0.0004661080732838186,-0.002042056872376788,-0.005349499214684914,1.4088708209974472e-05,-0.004746046797869872,-0.034866898650158636,0.007444258163333233,0.002116640215115516,-5.0423132900783126e-05,-0.0014066609946361973,-0.00036914240441322967,4.092051980981722e-05,0.0075023749538793046,0.0035186378824427814,0.007921820968925353,0.0007963560862824906,-0.0020763867333807575,0.0015072951641238572,0.00010292010790916,-0.026241404328260342,-0.004079855878896515,-3.828924951308395e-05,0.003736882070301454,-0.007187526362627438,-0.00816514636467954,0.007820467252048343,0.00012038369792879015,0.002206870232566992,-0.00021854694769613697,-0.0002397316678122512,-0.0036166243308594455,1.9720684028022708e-05,-0.010842683282186065,0.0007538536262199447,-0.005865459434233302
DDB2,0.0004920245087507543,0.0003009384670712798,4.3982910854987e-05,-6.478182113047049e-05,-0.0037791208809400617,-0.00020038408754804313,-0.0023088497750380268,0.00025482747406962953,-0.002215092907834135,0.0,-0.0005239951764571947,-0.0011262004202207713,0.0007911373793855668,-0.00014279109583531196,-0.03212740182494872,0.020660301692740732,0.0010600378732284737,-0.02619494749143379,-0.0013060163404792408,-0.0006578911490639051,-0.00017191204569575155,0.001698733971917234,-0.001994210689028628,-0.0024662698850267083,0.0011521973632101388,-0.00242838331921858,0.000154323077076319,0.015648615656620492,-0.0102262760347275,-0.0005279367973959832,9.010273142676318e-05,0.0032825848805168663,-0.007710591514798633,-1.7080888968357964e-05,0.001699464281517848,0.0004166745480798484,-0.013955696020938487,-0.000485425270774906,-0.0005607578480366695,-4.055337632714824e-06,-0.00031620630328805556,-0.0008445277219509936,-0.0015976505947658836,-0.00016299731436845847,-9.835201766822785e-05,-0.016876837072070206,-0.03306241601963604,3.690017370155987e-05,0.03546600018619637,-0.0008602495000634783,-0.0005410799811481538,-0.00010464442432009581,-0.00014838578725346908,-0.00847493689612233,-0.0003850562865187521,-9.24605626987399e-05,-0.009726996360187269,5.188480236976249e-06,-0.00012585547506915586,-0.0011656051137027982,0.0028842531702326676,0.012725209078981246,-0.00011216846856202233,-0.0019610521503984927,6.108687596220066e-05,-0.00018039561241906264,0.00013345089637567146,0.026443549425064803,-0.0012161767333994948,1.7604668707406395e-06,0.004281101517364655,-0.00020663116042003675,0.0017582909248349777,0.0012962655117652114,-0.0045468665107548266,-0.0006669782082973722,-0.0003541596071920548,-0.0006146135395701765,-9.050555175958151e-05,0.0014379989189939677,-0.0013238391386464787,-0.0013676889293729691,0.002981361416167734,0.004877682376882707,-0.0003676947508666693,2.502431737582634e-05,-0.0007904536513390137,0.010050569182665853,0.002817012826104854,-3.234784387399022e-05,-0.0012916582052981476,-0.0001273410266873429,-0.013698567724508557,-0.0033652115768323604,-0.0016901547513235827,-0.0011309274627955427,6.7816582935334e-05,0.009783225610993226,-0.00030756445773506537,0.0004541883182592509,-0.002753261370920058,-0.00043232497374585575,0.0003182855445778082
