,ARID4B,CEBPZ,CENPK,CHAF1A,CHD7,CHURC1,CITED2,CRABP2,CTNNB1,DDB2,DNAJC2,DNMT1,DNMT3A,EIF5B,ETS2,ETV4,ETV5,FOXH1,FXR1,GTF3A,GTF3C5,HDAC1,HES6,HMGB2,HMGN3,HNRNPR,HTATIP2,ID1,ID3,ILF3,IRX2,JADE1,JARID2,JMJD1C,KAT7,KDM5B,LIN28A,MAF1,MAZ,MCM4,MCM7,MED1,MIS18BP1,MKI67,MPLKIP,MYC,MYCN,NAA15,NANOG,NAP1L4,NIFK,NONO,NR2F6,NR5A2,PAPOLA,PAXBP1,PDLIM1,PHF3,PLK1,PNRC2,POU5F1,PRDM14,PRPF4B,PTTG1,RAD51,RBCK1,RSF1,RUNX1T1,SALL2,SALL4,SKIL,SNW1,SOX15,SOX2,SOX3,TADA3,TARDBP,TCEA1,TCF3,TCF7L1,TGIF1,TOP1,TRIM24,TRIM25,TRIM27,TSC22D1,UBTF,UTF1,VENTX,YTHDC1,ZFP36L1,ZFP36L2,ZIC2,ZIC3,ZNF22,ZNF24,ZNF326,ZNF398,ZNF593,ZNF649,ZNF90,ZNHIT3,ZSCAN10
ARID4B,1.0,0.9623770576743814,0.4074717514284467,1.0,0.26532465712978587,0.23200445254319735,1.0,0.9785224090329426,0.81706495915665,0.4277132106281579,0.8762204711234192,0.154901361369137,0.9134023617332419,1.0,1.0,0.6949726872831905,0.9422029707958028,0.3291115990511998,1.0,0.9324111645393317,0.06453187403027796,0.9772835646446489,0.45860004871450616,0.5955563842493201,1.0,0.620091986834518,0.8522490064168339,1.0,0.4230409913708293,0.9307550972910612,0.49655954063577495,0.14622292641303739,0.9905216680714818,1.0,0.6457849622110986,0.5808755112707542,0.978906099664153,0.7060888786919156,0.8146409161800658,1.0,1.0,0.6201827100235322,1.0,1.0,0.8894800238110289,0.01870216987807787,0.5090247634920366,0.9515688595988484,1.0,0.7484466993339521,0.9581902832207208,0.9304847613071812,1.0,0.5436784731000194,0.29012415490846294,0.9823904527909021,1.0,1.0,0.8429482816674969,0.9428691257014948,1.0,0.3117080873492986,0.9914381663558897,1.0,0.9263425768456502,0.20797297466171494,1.0,0.5624494708634877,1.0,0.6822890771160027,0.18134363746765994,1.0,0.35576728548349673,1.0,1.0,1.0,1.0,0.9400805515642476,1.0,0.9819402055888737,0.8858198922029443,1.0,0.008831503960159748,0.3324068373350354,1.0,1.0,1.0,0.2210866205571813,0.7793708873349963,0.3148068567673215,1.0,0.9076298241195851,0.2734202787030292,0.6151417976250121,0.9972430414592404,1.0,0.9655532181286753,0.8168907455875255,1.0,1.0,0.012581800291625644,1.0,0.703118750484566
CEBPZ,0.9556668953528051,1.0,1.0,1.0,0.008005454973902915,0.9723631710179652,0.2668095700870088,1.0,9.428691923821664e-10,1.0,4.33793324595344e-05,1.0,0.05905896387350073,1.0,0.6761089507623602,0.9796743685063878,0.3140175616209556,0.8528933564225978,0.25124416522961557,0.20754672342363029,0.07124668259407625,0.6245420814102911,1.0,3.644963787403833e-11,0.9556668953528051,9.660750685108355e-12,1.0,0.19904649869129482,5.117844173858917e-06,0.37883243146839407,3.7351556828476e-09,2.785869782892836e-09,0.9079608545405218,0.16320461494383856,0.03452277670279489,0.1087013226576814,0.6975020273736849,0.4689199581053518,0.0017594183483769115,0.023830928907945307,6.913059396063812e-05,0.19045670089349317,0.3839921826226255,0.9396787580867433,0.9396787580867433,8.835202320075718e-07,0.2953115162106569,0.26625221316222025,0.709785088438361,0.41688371116699585,0.010019777495580714,0.018183095507610852,0.07977039220765567,0.6299381265074168,0.8840299193515878,0.1738779988013086,0.13104285688350914,0.9295832768715834,0.0013813004401666642,1.0,8.202690024981255e-12,7.865773638852245e-15,0.6918902527859595,0.07583884889435999,0.10306844669398464,1.0,1.0,2.6252288771982493e-10,0.817003447991733,0.13750117590142522,0.0004171083673735563,1.0,0.0005642475839214688,9.143525477043565e-06,0.38075444850607537,1.0,0.6816184005546225,0.010487936475101127,0.399097821467814,1.0,0.0003964427426135877,0.5519427672952919,0.5818914741220609,0.5460121836605996,0.0013596490833434872,0.522921266138557,0.543561862693886,1.1442428070632015e-27,0.8462601145497576,0.7729546273959936,0.14909052821675092,0.021418841849492547,0.002251120090549772,0.6892068243462858,1.0,0.38271187079620395,0.047395732390137356,0.028147517602021676,4.2012856386968844e-05,1.0,1.0,1.0,0.0002895492309759034
CENPK,1.0,1.0,1.0,0.889146870073868,1.0,1.0,0.49657321588027425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8579356047803006,0.7642670809752234,1.0,0.5627657125134913,0.46932016969925394,0.48322378901317203,0.6139829599940516,0.42505650910085724,0.42285179312148485,0.7171247742421744,0.4958189543061349,1.0,1.0,0.0007036148148179693,0.0037544575994709934,0.9139044188859662,0.6781632579421364,1.0,0.5682925748838978,0.9179519638781506,1.0,0.9745430658492631,0.8699026273495175,1.0,0.9334466561096137,0.3135172109722163,0.9411786031371715,1.0,0.2753496017311561,1.0,0.65027953341109,0.7399518743358608,0.46606089258882516,0.8007018926590782,1.0,0.8678895356476224,1.0,0.8320191986436279,0.6110344404199454,0.5327734257385808,1.0,1.0,1.0,0.5896242940639194,1.0,1.0,0.1469738960167915,0.9325974587735139,1.0,1.0,1.0,1.0,0.8287580474297784,0.6457849622110986,0.8209348904866024,0.8114594936966221,1.0,0.8681245543924255,1.0,0.08452288874756281,0.2748538106672578,1.0,0.9405909038460734,0.9843352717096047,0.5985288316480719,0.9781429796452088,0.24639289712904142,0.9209823809755242,0.7878428086152692,0.8238848607410488,0.26690441953880617,0.8894800238110289,1.0,1.0,0.6382874913697665,0.6511122329287184,0.7886514309312539,1.0,0.48849617235868986,1.0,0.8874463522539646,1.0,1.0,0.7270841976321281,1.0,1.0,0.84355499579,1.0,1.0
CHAF1A,1.0,1.0,1.0,1.0,0.7924531693031247,1.0,1.0,1.0,0.7618724481163494,0.2532952770334351,1.0,1.0,0.8615043114746667,1.0,0.2044407850284261,0.4942511758945314,0.7054261132210672,7.938777776710471e-05,0.45335624268354746,1.0,1.0,1.0,0.6032054363299064,0.07699218538195354,1.0,0.00044878675582963413,0.48555690974074206,0.0037163570672843196,0.04025713854509881,0.7816974800213585,1.0,0.2949585573275127,0.6977197276360259,0.020114163282259602,1.0,1.0,0.1580723862305959,1.0,0.7708084370503618,0.3852182262169028,1.0,0.7564760958925665,0.9593558523520325,1.0,0.8541574999132892,0.15851869526913728,0.2813298730924597,0.04093308384992894,0.23559928515473444,0.049041153405562574,0.9623770576743814,1.0,0.5084868340546299,0.9495963550879271,1.0,0.9978104507103457,0.6969493907615512,1.0,1.0,0.16015554928578674,0.6726641586560252,0.6841709825170744,0.1967787703013286,1.0,1.0,0.7210251365447525,0.9387276043180748,0.5256155024243893,1.0,1.0,0.1799395333552123,1.0,1.0,0.3452291247980151,1.0,0.0068362569795030565,0.5037214549950659,0.19198749905611848,0.001762207132993854,0.9447916537189363,0.886689049491624,0.6486355974108561,0.97333082779586,0.9821341694571263,0.9511809611566213,1.0,0.6306659377790708,1.0,0.24744971687558417,0.9972430414592404,1.0,0.9584431255143151,1.0,0.5125524475699725,0.882550439126322,1.0,0.009916689103204646,1.0,0.12211882662209206,0.7045907190874815,0.001523069086941793,0.7989024679921695,1.0
CHD7,0.5343428803313153,0.0010975050313440594,0.9723631710179652,1.0,1.0,0.6315935327901646,0.01273799312683848,1.2297536701537754e-06,8.850454981884585e-08,0.013604372152533408,0.006320789286083753,1.0,1.3528332868452699e-06,1.0,0.9407379274909436,0.4131547169759985,0.29461470121550465,0.8793289032950345,0.13635626413680818,0.3106708828876141,0.4806384814799039,0.11237437785490474,0.1515179286644952,1.0445439700093283e-21,0.9915687318015772,4.4974374867219814e-07,0.1740339760970476,0.5596858989249549,1.045981383669398e-09,0.00015355807269039289,5.655564831910117e-06,7.425172652773941e-05,0.008048519238507931,0.7044834130543758,1.0,0.9811134458160738,0.6347443138663423,0.05258076567322599,0.08842266793888028,1.0,0.9914381663558897,0.47012390732321946,0.3449276995201489,0.01683092394837997,0.6260131247705844,0.9846552581338107,0.010468071977051538,0.3319795091717727,0.0023482956130270443,0.012702205885553708,0.5137110015082156,0.015816679456973376,0.28796680290146265,0.4131547169759985,0.3817623463881284,0.08116739501975853,0.06828022965493288,0.6816936415712491,0.9252277003115337,0.007811849537359456,0.11006387128382145,4.786064604691221e-22,1.0,0.0027168463666272912,0.4613025399513227,0.012242175632374796,0.07019595636334112,1.2593573881931738e-35,0.07511792707063547,0.08761083251613,0.0003266246330988175,0.8537259074335747,3.19046694200128e-21,0.07177135551721923,0.40122497950968095,0.34570702975856293,1.0,0.886689049491624,0.06792777599184412,0.014563863507973398,3.698951782846095e-10,9.608292234878368e-08,0.5327734257385808,1.0,0.12717891845690107,1.0,0.2323991633388585,4.391294028350444e-32,1.0,0.7618724481163494,7.919211866625069e-06,5.8930399681272245e-15,0.00014657628302997867,0.01873573815390849,0.5495081807342487,0.24772677985296226,0.9808526606792484,0.6917610434592133,0.0032811437775336553,0.5288855598432308,1.0,0.21655467162462447,0.008805142792079664
CHURC1,1.0,1.0,1.0,0.9993146984193574,0.77308831496554,1.0,0.7938885106891995,0.7790100166752681,0.9581902832207208,1.0,0.916659498301727,0.8706434582930569,0.9819402055888737,0.6758921629884186,0.7823469035640669,0.010060387435185997,0.9998798557136662,0.7538992013828872,1.0,0.5231143389220878,1.0,0.9781000252361356,0.8718115843808733,1.0,1.0,0.25426832359170415,0.6610594328185738,0.45974661193888755,0.6580506809703534,0.24925482335557284,0.9956888358087415,1.0,0.3182777234322107,0.7623378761701189,1.0,0.9809175910378887,0.7017432355001779,1.0,0.6391009866632522,0.9481577039454568,1.0,0.7043306941648242,0.9823904527909021,1.0,0.867384178680735,0.0001888758561067192,0.9374420945735116,0.7790100166752681,0.05886858064798148,0.9268290360931598,1.0,1.0,1.0,0.9186726772996334,1.0,0.5278691941376423,0.8187732510528452,1.0,1.0,0.7840614066074365,0.5152652039759357,0.25568506456998646,0.3951328440406028,0.9396787580867433,0.7484466993339521,0.8278967943572743,0.2809621955358893,1.0,0.41744026931772044,1.0,1.0,0.9013614165609126,1.0,1.0,1.0,1.0,0.5482242174139362,1.0,0.09096232056756362,0.698816022480386,0.6213955329508372,1.0,0.26781541941452286,0.6503270782383391,0.006324558039220912,0.9575281465088719,0.9954242570644344,1.0,0.46823012612617265,0.9543974891505034,0.6265261892084336,0.3304683575061283,0.14329838792303398,0.23307106918071485,1.0,0.7405637123873416,0.6551763968451205,1.0,0.8278967943572743,0.7173999646386209,0.9178633428643778,1.0,1.0
CITED2,1.0,0.0029642052446109705,0.8391252507162201,0.8932953695274416,0.05666214823911985,0.8248381566279948,1.0,2.4797095871254156e-68,2.390704144223626e-07,0.6760978826221652,0.03931735788908894,1.0,1.0,0.019957901734882096,0.9443893336555392,0.13614057560278378,0.21147599995960092,1.0,1.0,0.32281355334900835,0.3148068567673215,0.09479073481230112,0.37951481802647524,1.0,6.229009700257949e-06,0.06411330229218021,0.6445736860276663,0.9781429796452088,3.018582238650279e-30,0.0702624753034267,1.0,6.476359126539578e-17,1.0,2.0348690636045783e-10,1.3647356113056232e-06,0.5460483632640646,2.261016447067042e-05,0.6814812920323619,0.5125524475699725,0.06753483847003475,0.3191763722398074,1.0,0.37307738111860833,1.0,1.0,0.41688371116699585,0.5604045082968205,0.775234585856285,8.753349422773822e-16,0.02557230032172815,2.712989285953812e-07,1.0,1.97397489575981e-24,0.05865044841250992,0.002041624987230926,1.0,0.05135588437624873,0.028589372517695194,0.05179542149132605,1.0,4.286995211413626e-142,0.0048181613801885,0.1717424996305455,0.3255786119841644,1.0,0.07705883757925303,1.0,0.2734202787030292,0.9756684608190991,1.0,0.0059891663014315505,0.34883866402208635,1.015021923355233e-15,9.315687895758962e-11,8.039613125513422e-98,0.01668725332874712,1.0,0.0003848993006449963,0.529054496063388,3.051665865306076e-07,3.291004857054737e-16,0.27567252141120974,0.3645652617258914,1.0,1.0,0.007451008208290842,0.05312527683032587,0.00021499502623500264,0.2174197995388822,0.0091172438481067,0.45832057350298866,9.055517449774335e-07,0.7044834130543758,0.43511931552239175,0.781150234688022,1.0,0.9396787580867433,0.41237307879731216,0.945858176010465,0.8413291699617187,0.20598191677020616,0.28943563269407974,3.62834276462376e-10
CRABP2,0.8507042062391211,1.0,1.0,1.0,1.4784879443175331e-05,0.9939881289617826,2.2861545257725148e-29,1.0,0.7950590491698668,0.6539867057472103,1.0,1.0,0.948637317175683,0.12986660612296244,1.0,0.02285051465678328,0.4888257397431945,0.4827612178490698,0.9443893336555392,0.606983269146662,0.7618162384220352,0.09569598907845873,0.0006646863856196855,0.005473854161685287,0.003376454083255517,1.2063787567487803e-05,0.07688846226484969,1.761926109625363e-05,0.010111662183459479,0.002904667164994836,0.002866283821466653,0.09020237509662613,0.011879718654915957,0.000274638761340828,8.205167713429058e-05,1.0,1.0,1.0,0.8238848607410488,0.6814812920323619,0.9984938050185356,0.9623770576743814,0.8031594895593137,0.6822890771160027,1.0,0.32937120600130915,0.04028026907678748,1.0,1.2178416520021019e-29,0.0020856065310301047,0.00024552198356706396,0.24771053117310382,8.835202320075718e-07,3.3687526033700216e-07,0.8932953695274416,1.0,1.0,0.0015010784538489427,0.057942849053826795,0.5482242174139362,1.051816576263605e-115,6.662627598865017e-10,0.13485776482815837,0.026600410716152937,0.6927478935300149,0.14628882234522161,0.6525836284637341,9.223473033404441e-07,0.5006916037532054,0.686948294314398,0.9911491715930376,0.15354635750767853,2.602576516428735e-20,5.423640924671201e-12,1.424326298241106e-38,0.5787490525226843,1.0,0.0003056779301927399,0.361808166165166,5.337279870288431e-07,6.054487624211461e-14,0.004349283125511385,0.1424060043773688,0.18924942110185566,1.0,0.10370649795492361,0.0062325606834193765,0.06089902017909037,0.6917005129563768,0.011247656401671271,0.19591371335592825,5.0648947951864505e-09,1.0,0.8287580474297784,0.33368062509283253,0.0869639657316467,0.9623770576743814,0.8009204639072907,1.0,0.32944910224082685,0.12351631470251916,0.47008410523086963,0.3106187987363393
CTNNB1,1.0,9.767887754388134e-15,1.0,1.0,9.608292234878368e-08,0.46802159514543074,0.01420300178158996,0.9819402055888737,1.0,0.318565039670165,4.0192041066093714e-06,1.0,0.00012846569169156147,0.7648285993026172,0.54474874440122,0.8900281277774192,0.8747432493102795,0.7770540420686673,0.5301361750782893,0.02866304293715061,1.0,0.4896768792898436,1.0,8.09880379377156e-24,0.7455822450361805,4.6464004463704256e-10,0.5926175490587944,1.0,4.952154937682433e-13,0.000889601491035487,0.0008309821208381634,8.79367307155228e-13,0.2800348950376366,0.3817623463881284,0.05055603524241822,0.32812333704321295,0.6340130170050113,0.6981455446598284,0.05111220062330845,0.09971075527355597,0.006799643980518107,0.4680987223250943,1.0,0.026555917654812893,0.8849106824506268,0.009613419487621873,0.9477419140268564,0.14339538313858455,0.0034419412266019937,0.10190486799783266,0.001917442951535519,0.03149105153150392,0.028588211655049333,0.000148343354606058,0.436744419600345,0.32392922367790267,0.1725051145307163,0.17353400707158068,0.3667805391910583,0.2365717359332761,1.1993382412771271e-22,7.892522066660617e-31,1.0,1.0,0.4863217773160364,0.24054425901192053,0.644476309443573,2.2371952953361004e-10,0.5903248259264513,0.1580723862305959,9.266084886187757e-07,1.0,0.001598477903610113,0.006203320674557957,0.0030872665775333067,0.027809896605398735,1.0,0.23926221911902737,0.8807268251404662,1.0,2.1111063859980822e-05,0.00028888779274082084,0.30908102518534936,1.0,0.09088821848361857,0.1791005116943481,1.0,3.264487754589872e-26,0.6263459918631841,1.0,0.005507041517843789,5.190676974521262e-08,0.24744971687558417,0.47396219635595,1.0,0.09807492571808625,0.9443893336555392,1.0,0.0001888758561067192,1.0,0.05406507461455253,0.4827612178490698,6.350278822322195e-08
DDB2,0.49710756889103613,0.9556668953528051,1.0,1.0,0.0008073830840335034,0.6725351210733878,0.5456515048222691,1.0,0.08116739501975853,1.0,0.5221862569834544,0.041955797530553555,0.42351290049467255,0.8621173772327778,0.00048501200253693756,0.1466336621608617,0.0027168463666272912,0.038235084238887905,0.017958644685861176,0.3407802248154002,0.3410682209867807,0.04028026907678748,0.004200527786074679,0.08148377539672125,0.04344319686898066,0.031867646038125565,1.0,0.1368200707172043,0.00034098294183352126,0.512505091790523,1.0,0.02690308370078371,0.5606957255570265,1.0,0.009575321456647981,0.4796225269020727,0.3299984205854341,0.08216870717505563,0.12960239401476284,1.0,0.28927197083111206,0.07169808213957096,0.001998577015969703,0.9270061782328576,0.9325974587735139,0.012779623242315456,2.4246292052510436e-06,1.0,3.788764868689461e-05,0.11663500045240495,0.47746103867747125,0.951508706255211,1.0,0.41375158302240594,0.7959507209502873,1.0,0.5090247634920366,1.0,0.9811134458160738,0.03193758223264108,0.7557890873946358,0.29960389310234903,0.9334466561096137,0.01670644058610113,1.0,0.967210051379026,0.9867650693202703,2.5588892379126228e-05,0.1580723862305959,1.0,1.1780336646104758e-10,0.8494358836865098,0.31216985893299304,1.0,0.07367736914399928,0.03744412011810009,0.48156976357970793,0.6380304492227828,0.968674567484717,0.1717424996305455,0.48038412212027076,0.2418296212766284,0.914771083876901,0.4541537202592818,0.5137110015082156,1.0,0.0008531567960024536,2.20620498073778e-07,0.7336361818253031,1.0,0.3222258213033134,1.0,0.0231782306924886,0.6279807617273252,0.0023658895441290434,0.25556421078352165,1.0,0.010839813248678573,0.6805263107652438,1.0,0.8317145279289948,0.22849554077498946,0.9334466561096137
